UMDBV0766,141,86
BVAR0507,150,86
BVAR0089,9,86
BLVDD0172,19,86
BOUL0082,127,86
BVAR0019,63,86
BVAR0863,990,86
UMDBV0760,139,87
UMDBV1358,139,87
UMDBV1228,139,87
UMDBV0762,137,87
UMDBV1043,135,87
UMDBV0862,135,87
UMDBV1226,164,87
UMDBV1931,462,87
BVAR0727,481,88
BVAR0851,450,88
BVAR0233,3,88
BMOV0656,212,88
INF252,214,88
BOUL0819,246,88
BMOV0655,210,88
BVENT0320,8,88
BLVDD0730,101,88
BVAR0509,510,89
BVAR0511,203,89
BVAR0394,187,89
BVAR0586,363,89
BOUL0021,43,89
BMOV0661,279,89
BMOV0662,323,89
BVAR0523,509,89
UMDBV1291,2524,90
BVENT0163,187,91
UMDBV1171,132,91
UMDBV1041,131,91
UMDBV0851,131,91
UMDBV1415,127,91
WNRD2272,1548,91
UMDBV1380,119,92
UMDBV0869,119,92
UMDBV1354,110,92
UMDBV1173,108,92
UMDBV1377,105,92
UMDBV0753,103,92
UMDBV0964,99,92
UMDBV0754,98,92
UMDBV1279,98,92
BVENT0090,616,92
BVAR0843,190,92
WNRD2275,1353,93
WNRD2272,633,93
BVAR0579,164,93
UMDBV1042,97,94
UMDBV1254,97,94
UMDBV0755,95,94
BVENT0127,93,94
UMDBV1377,90,94
UMDBV0765,90,94
WNRD2277,39,94
BVAR0590,64,94
BVAR0580,580,94
5014503264628,1,94
BVENT0790,523,94
BVENT0803,147,94
BVAR0160,108,94
BOUL0883,151,94
BOUL0147,14,94
BMOV0653,10,94
BMOV0662,610,95
WNRD2276,221,95
WNRD2271,1390,95
BOUL0582,233,96
BVAR0507,524,96
BVAR0603,288,96
BLVDD0044,51,96
BVAR0580,57,96
BVAR0015,498,96
BVAR0020,378,96
BOUL0082,26,96
BVAR0510,428,96
BVAR0528,840,97
BVAR0431,76,97
BMOV0659,116,97
BVAR0592,360,97
BOUL0070,41,97
BVAR0629,336,97
BAD STOCK PLT,1,98
BVAR0726,1440,99
BOUL0536,165,100
BVAR0940,499,100
BOUL0099,35,100
BLVDD0700,112,100
BVAR0543,163,100
BOUL0649,89,100
INF120,243,100
BVENT0987,76,100
BOUL0822,296,100
BVAR0005,198,100
WNRD2275,1123,101
WNRD7021,812,101
BMOV0656,615,102
9780954835811,848,102
BLVDD0730,758,102
BVAR0231,114,102
5017188883313,1,103
UMDBV1047,570,103
UMDBV0706,126,103
UMDBV0968,1599,103
UMDBV1226,97,103
UMDBV0863,156,103
UMDBV0008,150,104
BLVDD0677,44,104
UMDBV1174,978,104
UMDBV0705,689,104
UMDBV1043,182,104
UMDBV0851,122,104
UMDBV0616,116,104
UMDBV0968,1712,104
UMDBV0862,157,104
BLVDD0156,721,105
BVAR0625,671,105
BVAR0522,671,105
BOUL0061,657,106
UMDBV1931,32,106
BMOV0666,836,106
UMDBV1375,1054,107
UMDBV0593,252,107
UMDBV1415,189,107
UMDBV0604,36,107
UMDBV0761,102,107
UMDBV0610,724,107
UMDBV0635,14,107
UMDBV0620,55,107
UMDBV0688,3,107
BLVDD0775-AB14,94,108
BVAR0203,272,109
BVAR0596,175,109
BVAR0542,553,109
BMOV0662,210,109
BOUL0065,150,109
BVENT0303,30,109
BVENT0319,55,109
BVENT0310,61,109
BVENT0312,26,109
BMOV0665,191,109
BMOV0666,191,109
BVENT0894,1,109
BVAR0524,508,109
BVED0055,299,109
BVENT0560,185,110
BVENT0891,139,110
BOUL0900,565,110
INF253,258,110
BVENT0355,54,110
BLVDD0693,372,110
BVAR0514,593,110
