$ CUSTOMER	BOULEVARD						
$ USER	rabeelboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	COLLECTION TO BE ARRANGED BY BOULEVARD						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	BVENT0492	72					
$ ITEM	2EDVD0375	72					
$ ITEM	797402    	72					
$ ITEM	5050460000000    	71					
$ ITEM	UWI0086	71					
$ ITEM	CKCD04	70					
$ ITEM	CRIMKID013	70					
$ ITEM	88697315562    	68					
$ ITEM	CRIMCD482	67					
$ ITEM	5304316    	65					
$ ITEM	UWI0007	65					
$ ITEM	VVR1044182	65					
$ ITEM	88697096572    	65					
$ ITEM	KRKCD038	62					
$ ITEM	3777452    	61					
$ ITEM	8496826    	60					
$ ITEM	UWI0035	60					
$ ITEM	5099923520325    	59					
$ ITEM	2564631542    	58					
$ ITEM	blvdd0435	57					
$ ITEM	SORE015CD	57					
$ ITEM	10005428    	57					
$ ITEM	SANDSCD1	57					
$ ITEM	UMDBV1374	56					
$ ITEM	VR320	55					
$ ITEM	JW444	55					
$ ITEM	azcd48	55					
$ ITEM	APWCD4009	55					
$ ITEM	BVENT0633	52					
$ ITEM	STRAXCDG019	53					
$ ITEM	rr81862	53					
$ ITEM	4775467    	53					
$ ITEM	BRASSIC32CD	53					
$ ITEM	CRIMCD363	51					
$ ITEM	RTRADCD160	51					
$ ITEM	cdgift7	50					
$ ITEM	BVENT0252	49					
$ ITEM	9811212    	49					
$ ITEM	BVENT0107	47					
$ ITEM	88697060532    	47					
$ ITEM	ec4767724	46					
$ ITEM	UMDBV1228	45					
$ ITEM	DECULT19	45					
$ ITEM	LONG100CD	45					
$ ITEM	UMDBV0752	44					
$ ITEM	CRCD03092	43					
$ ITEM	GRFL042	43					
$ ITEM	umdbv0691	43					
$ ITEM	703522    	42					
$ ITEM	BOUL0303	42					
$ ITEM	DVDIV035	42					
$ ITEM	82963    	40					
$ ITEM	KRKCD019	40					
$ ITEM	BLVDD0779	39					
$ ITEM	CRIMPCD012	38					
$ ITEM	MDRP3353	38					
$ ITEM	HD80943	37					
$ ITEM	8232239    	36					
$ ITEM	3023901000    	34					
$ ITEM	UMDBV0604	34					
$ ITEM	BLVDD0776	29					
$ ITEM	BVENT0210	29					
$ ITEM	5051440000000    	24					
$ ITEM	BLVDD0476	23					
$ ITEM	9846751    	22					
$ ITEM	CRIMKID011	22					
$ ITEM	DECESS25	15					
Transworld E-Logistics	Unit 1 Morley Court	Morley Way		Peterborough	Cambridgeshire	PE2 7BW	U.K
customer	Add-1	Add-2	Add-3	Town	County	Postocde	Country
