
$ CUSTOMER	QUANTUM								
$ USER	stewartquantum								
$ CONSIGNEE	A								
$ CONSIGNEECONTACT	I								
$ ADDR1	B								
$ ADDR2	C								
$ ADDR3	D								
$ TOWN	E								
$ REGION	F								
$ COUNTRY	H								
$ DEFAULTUK									
$ POSTCODE	G								
$ CUSTREF1									
$ CUSTREF2									
$ CUSTREF3									
$ CUSTREF4									
$ DEFAULTSPECIALINSTRUCTIONS	Ref: R/A 52682 (Contact: Wayne - 01284 702600) 								
$ DEFAULTPACKINGNOTE	(none)								
$ DEFAULTCUSTREF1	(none)								
$ DEFAULTCUSTREF2	(none)								
$ DEFAULTCUSTREF3	(none)								
$ DEFAULTCUSTREF4	(none)								
$ DEFAULTUK									
$ ITEMORDER	PQ								
$ ITEM	RDR0335	12							
$ ITEM	RDR0338	12							
$ ITEM	RDR0342	12							
$ ITEM	RDR0355	12							
$ ITEM	HL00641727	15							
$ ITEM	HL00320523	15							
$ ITEM	HL00320294	15							
$ ITEM	HL00642017	15							
$ ITEM	HOT143	15							
$ ITEM	DV10252	15							
$ ITEM	HL00320491	15							
$ ITEM	HL14004675	15							
$ ITEM	HL14041371	15							
$ ITEM	HOT199	15							
$ ITEM	RDR0136	15							
$ ITEM	DV10076	15							
$ ITEM	GW414	15							
$ ITEM	HL00642146	15							
$ ITEM	HOT705	15							
$ ITEM	HOT710	15							
$ ITEM	HUD700777	15							
$ ITEM	RDR0003	15							
$ ITEM	RDR0138	15							
$ ITEM	RDR0340	15							
$ ITEM	RDR0353	15							
$ ITEM	FR01005	15							
$ ITEM	HL00320489	15							
$ ITEM	HL00320652	15							
$ ITEM	HL00320746	15							
$ ITEM	HL00641725	15							
$ ITEM	HL00642077	15							
$ ITEM	HOT702	15							
$ ITEM	RDR0218	15							
$ ITEM	RDR0306	15							
$ ITEM	DV11242	15							
$ ITEM	GW965	15							
$ ITEM	HL00320256	15							
$ ITEM	HL00320329	15							
$ ITEM	HL00320333	15							
$ ITEM	HL00320530	15							
$ ITEM	HL00642142	15							
$ ITEM	HL02500840	15							
$ ITEM	HOT706	15							
$ ITEM	HUD700546	15							
$ ITEM	RDR0186	15							
$ ITEM	RDR0303	15							
$ ITEM	RDR0305	15							
$ ITEM	RDR0336	15							
$ ITEM	RDR0343	15							
$ ITEM	RDR0344	15							
$ ITEM	RDR0358	15							
$ ITEM	SGGW13567	15							
$ ITEM	DV10054	15							
$ ITEM	FMDVD1019	15							
$ ITEM	FR00915	15							
$ ITEM	HL00320854	15							
$ ITEM	HL00321262	15							
$ ITEM	VESTAPOL13116	15							
$ ITEM	HL00320933	18							
$ ITEM	HOT173	20							
$ ITEM	HL00320825	20							
$ ITEM	HL00320707	20							
$ ITEM	DV11286	20							
$ ITEM	DV11528	20							
$ ITEM	FR00973	20							
$ ITEM	DV10018	20							
$ ITEM	RDR0356	20							
$ ITEM	DV11605	20							
$ ITEM	HOT704	20							
$ ITEM	HL00642009	20							
$ ITEM	HL00642164	20							
$ ITEM	RDR0013	20							
$ ITEM	RDR0302	20							
$ ITEM	HL00320326	20							
$ ITEM	HL50448017	20							
$ ITEM	HL00320430	22							
$ ITEM	DV10571	25							
$ ITEM	DV10923	25							
$ ITEM	HL00320822	28							
$ ITEM	GW945	30							
$ ITEM	FR00930	30							
$ ITEM	HL50448013	30							
$ ITEM	HL00641857	30							
$ ITEM	HL00320927	30							
$ ITEM	HL00320381	40							
$ ITEM	HL00320700	60							
$ ITEM	HUD700326	65							
$ ITEM	RDR0113	65							
$ ITEM	FR01006	160							
Music Sales Group	Newmarket Road			Bury St Edmunds	Suffolk	IP33 3YB		FAO: Wayne Morris	
